,ML
2021-07-22 17:00:00,1.227271861292525
2021-07-22 18:00:00,1.2101491986387047
2021-07-22 19:00:00,1.196538363968231
2021-07-22 20:00:00,1.1772920993506968
2021-07-22 21:00:00,1.1572756428559619
2021-07-22 22:00:00,1.1402775797721336
2021-07-22 23:00:00,1.1237741867289965
2021-07-23 00:00:00,0.9427333167047637
2021-07-23 01:00:00,0.9251222543239223
2021-07-23 02:00:00,0.904843612508638
2021-07-23 03:00:00,0.8876301075702832
2021-07-23 04:00:00,0.8713841048517658
2021-07-23 05:00:00,0.8528941592656517
2021-07-23 06:00:00,0.8349789332066683
2021-07-23 07:00:00,0.8166188408057969
2021-07-23 08:00:00,0.8042959658547558
2021-07-23 09:00:00,0.7946632749423327
2021-07-23 10:00:00,0.7849781413008897
2021-07-23 11:00:00,0.7870773512969104
2021-07-23 12:00:00,0.7303850317175363
2021-07-23 13:00:00,0.7391946511157518
2021-07-23 14:00:00,0.7581528357299454
2021-07-23 15:00:00,0.7927702563193025
2021-07-23 16:00:00,0.74224245276597
2021-07-23 17:00:00,0.7521548373020522
2021-07-23 18:00:00,0.759368308303482
2021-07-23 19:00:00,1.0157228230724227
2021-07-23 20:00:00,1.4022248502483368
2021-07-23 21:00:00,1.3969364219396827
2021-07-23 22:00:00,1.4728947344110754
2021-07-23 23:00:00,1.468594647726907
2021-07-24 00:00:00,1.246796831180561
2021-07-24 01:00:00,1.2332324914986357
2021-07-24 02:00:00,1.189680734279135
2021-07-24 03:00:00,1.1398074167157592
2021-07-24 04:00:00,1.1322261291989435
2021-07-24 05:00:00,1.131524513905159
2021-07-24 06:00:00,1.1808264567092162
2021-07-24 07:00:00,1.1742938826442144
2021-07-24 08:00:00,1.1358646281624374
2021-07-24 09:00:00,1.1292395484532889
2021-07-24 10:00:00,1.146664648481176
2021-07-24 11:00:00,1.1120097900069503
2021-07-24 12:00:00,1.047393551493493
2021-07-24 13:00:00,1.0827810820163426
2021-07-24 14:00:00,1.039006262007322
2021-07-24 15:00:00,0.9852765212405145
2021-07-24 16:00:00,0.9639135253863947
2021-07-24 17:00:00,0.9553197219329784
2021-07-24 18:00:00,0.9783000032966068
2021-07-24 19:00:00,1.0617380135872356
2021-07-24 20:00:00,0.8033336011980946
2021-07-24 21:00:00,0.8035895026132981
2021-07-24 22:00:00,1.1989439303456464
2021-07-24 23:00:00,0.8015183049352818
2021-07-25 00:00:00,0.7700500424781568
2021-07-25 01:00:00,0.7916566047264023
2021-07-25 02:00:00,0.815421863223945
2021-07-25 03:00:00,0.8099610957072371
2021-07-25 04:00:00,0.7640639244032648
2021-07-25 05:00:00,0.723507821115658
2021-07-25 06:00:00,0.6950403741701072
2021-07-25 07:00:00,0.6685728532226735
2021-07-25 08:00:00,0.6626082025974434
2021-07-25 09:00:00,0.6303649894147961
2021-07-25 10:00:00,0.6300850687980946
2021-07-25 11:00:00,0.6842345070818628
2021-07-25 12:00:00,0.6929403697241558
2021-07-25 13:00:00,0.7129404128020412
2021-07-25 14:00:00,0.7347141897034433
2021-07-25 15:00:00,0.7536770715096429
2021-07-25 16:00:00,0.7729773727304982
2021-07-25 17:00:00,0.7876943615434088
2021-07-25 18:00:00,0.811982504597429
2021-07-25 19:00:00,0.8375263347074794
2021-07-25 20:00:00,0.840878516479952
2021-07-25 21:00:00,0.82796516396219
